location,scanned,max_delivered,distinct_job_imb_count,client_company,mailing_name,mailing_status,mailing_date,startTheClockDate,scanFacilityName,JobID,delivery_date,pieceId,latitude,longitude
"93619,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[7193fb21-7f41-11ef-86d9-75b45af40979],36.8432,-119.6518
"90701,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[3f8cd251-7f41-11ef-9ff2-1b4e638188fc],33.8654,-118.0731
"92880,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[1a564d43-7f41-11ef-b4be-99d606b3eb65],33.9208,-117.6096
"93635,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[4cea4cc3-7f41-11ef-9a45-4176d24235ba],37.0627,-120.8544
"91601,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[4c98f874-7f41-11ef-87a2-cb7e64537dde],34.1687,-118.3713
"93060,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[6be953f3-7f41-11ef-bbc9-b181fa14eaef],34.3547,-119.0713
"93458,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[24667172-7f41-11ef-aa14-a55cbad5c330],34.9535,-120.4957
"91423,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[3f133584-7f41-11ef-bad4-77ace9015643],34.1526,-118.4322
"90805,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[0ee33db1-7f41-11ef-922a-01c93b1ad99a],33.8635,-118.1801
"93656,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[57698671-7f41-11ef-b810-7d125a14ff34],36.4295,-119.872
"90305,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-02],[2c375401-7f41-11ef-9d56-ff268ce5da96],33.9583,-118.3259
"95616,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-03],[495edc11-7f41-11ef-9c78-1bda2b490c08],38.5538,-121.7418
"93313,United States",1,1,1,"The Monaco Group , CONGRESSIONAL LEADERSHIP FUND",41484 CLF CA22 M6 Travel,1,2024-09-30,,,[ASKJH5L],[2024-10-11],[1e984754-7f42-11ef-b4be-99d606b3eb65],35.2974,-119.0509
